displayLabel,canonicalName,specialty,subspecialty,bodySystem,organSystem,category,aliases,difficultyBand,rarityBand,clinicalSetting,ageGroup,urgencyLevel,isPlayable,isGeneratable,searchPriority,isDescriptive,isCompositional,notes
Asthma,Asthma,Pulmonology,,Respiratory,Airways,Obstructive,Bronchial asthma;Reactive airway disease,BASIC,COMMON,OUTPATIENT,ANY,URGENT,true,true,100,false,false,Common obstructive airway disease
Chronic Obstructive Pulmonary Disease,Chronic Obstructive Pulmonary Disease,Pulmonology,,Respiratory,Airways,Obstructive,COPD;Emphysema,INTERMEDIATE,COMMON,OUTPATIENT,ADULT,URGENT,true,true,95,false,false,Chronic obstructive airway disease
Pneumonia,Pneumonia,Infectious Disease,,Respiratory,Lung,Infectious,Lung infection;Community acquired pneumonia,BASIC,COMMON,COMMUNITY,ANY,URGENT,true,true,100,false,false,Common respiratory infection
Pulmonary Embolism,Pulmonary Embolism,Pulmonology,,Cardiovascular,Pulmonary Vasculature,Vascular,PE;Venous thromboembolism,ADVANCED,UNCOMMON,EMERGENCY,ADULT,EMERGENT,true,true,90,false,false,High acuity vascular diagnosis
Myocardial Infarction,Myocardial Infarction,Cardiology,Interventional Cardiology,Cardiovascular,Myocardium,Vascular,Heart attack;MI,INTERMEDIATE,COMMON,EMERGENCY,ADULT,EMERGENT,true,true,100,false,false,Canonical ACS diagnosis
Heart Failure,Heart Failure,Cardiology,Heart Failure,Cardiovascular,Myocardium,Hemodynamic,Congestive heart failure;CHF,INTERMEDIATE,COMMON,INPATIENT,ADULT,URGENT,true,true,95,false,false,Common cardiology syndrome
Atrial Fibrillation,Atrial Fibrillation,Cardiology,Electrophysiology,Cardiovascular,Atria,Arrhythmia,AFib;AF,INTERMEDIATE,COMMON,OUTPATIENT,ADULT,URGENT,true,true,85,false,false,Common arrhythmia
Aortic Dissection,Aortic Dissection,Cardiology,Vascular Medicine,Cardiovascular,Aorta,Vascular,Dissecting aortic aneurysm,ADVANCED,RARE,EMERGENCY,ADULT,EMERGENT,true,true,75,false,false,High acuity vascular emergency
Ischemic Stroke,Ischemic Stroke,Neurology,Vascular Neurology,Nervous System,Brain,Vascular,CVA;Cerebral infarction,INTERMEDIATE,COMMON,EMERGENCY,ADULT,EMERGENT,true,true,100,false,false,Common neurologic emergency
Subarachnoid Hemorrhage,Subarachnoid Hemorrhage,Neurology,Vascular Neurology,Nervous System,Brain,Vascular,SAH;Aneurysmal hemorrhage,ADVANCED,UNCOMMON,EMERGENCY,ADULT,EMERGENT,true,true,80,false,false,High acuity neurologic diagnosis
Migraine,Migraine,Neurology,Headache Medicine,Nervous System,Brain,Primary Headache,Migraine headache,BASIC,COMMON,OUTPATIENT,ADULT,ROUTINE,true,true,90,false,false,Common outpatient neurology diagnosis
Multiple Sclerosis,Multiple Sclerosis,Neurology,Neuroimmunology,Nervous System,Central Nervous System,Autoimmune,MS;Demyelinating disease,ADVANCED,UNCOMMON,OUTPATIENT,ADULT,ROUTINE,true,true,80,false,false,Immune mediated demyelination
Parkinson Disease,Parkinson Disease,Neurology,Movement Disorders,Nervous System,Basal Ganglia,Neurodegenerative,Parkinsons disease;PD,INTERMEDIATE,COMMON,OUTPATIENT,GERIATRIC,ROUTINE,true,true,80,false,false,Movement disorder diagnosis
Meningitis,Meningitis,Infectious Disease,Neuroinfectious Disease,Nervous System,Meninges,Infectious,Acute meningitis,INTERMEDIATE,UNCOMMON,EMERGENCY,ANY,EMERGENT,true,true,85,false,false,Infection involving meninges
